tag	EP	MP	LP	SP	LSP
DehaBAV1_0304	13.13554845	13.57538692	21.5863804	15.15807332	50.53423658
DehaBAV1_0579	166.4787989	131.8316045	138.2854292	163.9417731	202.1369463
DehaBAV1_0002	67.60524123	87.51393777	184.742603	81.50288558	0
DehaBAV1_0815	37.4791464	33.07024894	11.58275407	19.18745078	0
DehaBAV1_1380	24.34359795	21.56802135	20.13716518	40.83554123	0
DehaBAV1_R0027	0.285555401	0.593631148	0.651023258	0	0
DehaBAV1_R0008	0.142777701	0.125915249	0.423713503	0	0
DehaBAV1_0122	0	0	0	0	0
DehaBAV1_1111	131.7838176	178.4496132	45.57523445	41.44484251	50.53423658
DehaBAV1_0322	151.4157515	171.0176235	492.7685792	187.700368	0
DehaBAV1_R0019	0	0.096404402	0.423713503	0	0
DehaBAV1_0127	16.06249132	11.75452751	17.17170708	8.058754915	0
DehaBAV1_0337	8.423884335	46.40918325	22.39086085	62.13349646	0
DehaBAV1_0712	4.78305297	3.783541522	2.3092192	4.029377458	0
DehaBAV1_0855	35.3374809	29.63788333	10.92597875	45.56518914	0
DehaBAV1_0112	0.642499653	1.270592828	2.996900528	4.029377458	0
DehaBAV1_0198	2.141665509	2.798885385	19.80670612	22.60752696	0
DehaBAV1_0553	15.49138051	16.03762256	6.454709054	31.0164171	0
DehaBAV1_0341	9.280550538	6.949604906	15.59311577	18.22801428	0
DehaBAV1_1249	7.709995832	12.10453363	13.94120831	15.50820855	0
DehaBAV1_1339	24.8433199	23.09252114	14.03914197	18.92828473	0
DehaBAV1_0730	2.213054359	1.507218588	1.031790205	0	0
DehaBAV1_0248	3.212498263	3.345824351	4.163818889	0	0
DehaBAV1_0526	90.44967332	106.1522683	56.89348427	76.8407723	0
DehaBAV1_1369	9.566105939	13.16937818	78.87627852	14.89890727	50.53423658
DehaBAV1_0373	20.63137773	21.06142457	14.10670605	11.12869587	0
DehaBAV1_0846	23.91526485	25.26522557	25.79997076	26.28676919	0
DehaBAV1_0799	8.780828586	11.75039401	8.327637778	15.15807332	0
DehaBAV1_0498	4.211942167	4.799351491	3.623306265	7.099318409	101.0684732
DehaBAV1_0460	44.40386488	45.36917426	22.89525183	22.60752696	0
DehaBAV1_0114	3.498053664	3.903314489	8.450725386	4.029377458	50.53423658
DehaBAV1_0934	45.11775339	44.26201474	23.32525382	39.87610473	0
DehaBAV1_1036	152.9863062	206.1153275	285.3446815	174.56183	101.0684732
DehaBAV1_0777	29.48359517	27.42054045	18.63296285	41.44484251	0
