Locus	5_MIN_AVG	15_MIN_AVG	30_MIN_AVG	60_MIN_AVG
b2511	0.985	0.73	0.895	1.4675
b2512	0.92	0.63	0.81	1.01
b2513	1.055	1.39	1.23	1.135
b2514	1.175	1.1625	1.285	1.1975
b2515	1.145	1.0575	1.24	1.09
b2516	0.8925	0.8375	0.86	0.865
b2517	1.235	1.76	1.625	1.6575
b2518	0.33	0.46	0.475	0.36
b2519	1.2975	1.22	1.375	1.115
b2520	0.95	0.7575	0.785	0.73
b2521	0.4925	0.52	0.56	0.4125
b2522	1.79	2.24	2.62	2.6675
b2523	1.4625	1.945	1.67	0.92
b2524	1.305	1.85	1.51	1.505
b2525	1.94	2.755	1.8	1.8975
b2280	0.8525	0.26	0.445	0.885
b2281	0.86	0.325	0.56	0.7675
b2282	0.82	0.35	0.495	0.585
b2283	0.7525	0.3	0.465	0.7175
b2284	0.425	0.37	0.54	0.62
b2285	0.2825	0.2975	0.47	0.435
b2286	0.2675	0.265	0.42	0.4475
b2287	0.3775	0.41	0.77	0.7075
b2288	0.375	0.425	0.78	0.78
b2289	0.765	0.6475	0.785	0.755
b2290	1.225	1.01	1.135	1.385
b2291	1.615	1.5175	2.02	1.9625
b2292	1.0175	1	1.07	0.7625
b2293	0.9625	0.5975	0.745	0.865
b2294	1.0375	1.09	0.775	0.8675
b2295	0.9075	0.8925	0.86	0.7575
b2296	0.725	0.8175	0.74	0.5275
b2297	1.0925	1.0525	0.88	0.6675
b2298	1.3925	1.3375	0.795	1.5
b2299	1.285	2.0075	1.735	1.4675
b2300	1.17	2.5825	1.32	1.5275
b2301	0.705	0.6725	0.86	0.9125
b2302	0.1475	0.0975	0.165	0.175
b2303	1.225	1.58	1.36	1.1475
b2304	0.845	0.89	0.865	0.575
b2305	1.23	1.1075	1.555	2.395
b2306	1.1	0.9925	0.885	1.5575
b2307	1.1125	0.9875	0.55	0.7075
b2308	1.29	1.205	0.95	0.9175
b2309	1.0775	1.31	0.785	1.0125
b2310	0.2775	0.0975	0.135	0.13
b2311	1.26	1.14	1.12	1.6275
b2312	1.99	2.2675	2.795	2.5475
b2313	2.5025	3.0625	2.54	1.565
b2314	1.375	1.4075	1.275	1.095
b2315	0.855	0.9675	0.99	0.7825
b2316	1.235	1.2625	1.205	1.275
b2317	1.255	1.1625	1.29	1.3475
b2318	0.8825	0.6775	0.815	0.8475
b2319	1.505	1.6275	1.455	1.3675
b2320	2.1975	2.98	3.055	1.905
b2321	2.145	3.1575	2.745	2.5425
b2322	2.5775	3.2225	6.05	3.6725
b2323	0.32	0.5	0.665	0.5
b2324	1.6675	2.9175	2.935	1.8525
b2325	2.3275	3.165	3.61	3.3725
b2326	2.2525	2.5775	2.745	2.8625
b2327	1.08	0.9575	0.96	1.0825
b2328	1.3075	1.55	1.425	1.01
b2329	1.595	1.93	1.855	1.1225
b2330	0.98	1.0675	1.08	1.0175
b2331	1.3075	1.8275	1.51	1.3725
b2332	1.4025	1.69	1.465	1.2075
b2333	0.94	0	0.01	0.5975
b2334	0	0	0	0
b2335	1.19	0.8825	0.465	1.31
b2336	0.805	0.73	0.005	0.3875
b2337	1.0275	1.265	1.485	1.69
b2338	0.8225	0.2875	0.305	0.435
b2339	0.41	0	0	0
b2340	1.4625	1.2725	1.2	1.1425
b2341	0.1175	0.1125	0.12	0.145
b2342	0.01	0.0375	0.005	0.0525
b2343	0.3325	0.3275	0.295	0.3525
b2344	0.29	0.245	0.255	0.3025
b2345	1.455	1.3675	0.57	1.8375
b2346	1.59	1.79	1.945	2.5525
b2347	0.6175	0.555	0.655	0.885
b2349	1.8025	2.3225	3.125	2.86
b2350	1.6075	1.9025	2.46	2.345
b2351	1.905	2.1	2.32	4.1675
b2352	3.1475	2.8425	3.48	5.4725
b2353	0.785	0.635	0.66	1.035
b2354	1.5125	1.07	1.255	2.03
b2355	0.6825	0.34	0.605	0.5475
b2356	0	0.28	0	0.21
b2357	0	0	0	0
b2358	0.9325	0.3425	0	0.385
b2359	1.175	1.1825	0.475	1.6825
b2360	1.18	1.16	0	0.545
b2361	0.3275	0.0025	0	0.37
b2362	0.38	0	0	0.355
b2363	1.0475	0.84	0.56	1.71
b2364	0.87	1.3575	1.215	0.8975
b2365	0.78	0.77	1.155	0.78
b2366	1.3525	1.295	1.42	1.0375
b2367	1.285	1.1375	1.78	2.3625
b2368	0.36	0	0	0.935
b2369	1.1225	1.0175	1.45	2.99
b2370	1.695	1.4875	1.995	5.5675
b2371	0.355	0.375	0.305	0.3175
b2372	0.7675	0.3875	0.61	0.71
b2373	1.365	0.9275	0.89	1.2675
b2374	1.0725	1.1	0.995	1.3425
b2375	0.6475	0.7575	0.585	0.355
b2376	1.49	1.9175	0.94	1.575
b2377	0.75	0.8325	0.885	1.0575
b2378	1.77	4.1375	1.315	2.2775
b2379	0.9325	0.7925	0.895	0.86
b2380	1.2425	1.4925	1.185	1.5275
b2381	1.03	0.8675	0.88	1.05
b2382	1.29	1.1775	1.545	1.6775
b2383	1.4125	0.6775	0.605	0.7875
b2384	0.4475	0.11	0.305	0.2675
b2385	1.145	0.6675	0.425	1.3175
b2386	0.75	0.1325	0.415	0.835
b2387	0.4375	0.2425	0.065	0.49
b2388	0.42	0.21	0.23	0.3725
b2389	0.4625	0.3425	0.26	0.4725
b2390	1.185	1.1775	1.35	1.18
b2392	0.555	0.66	0.97	1.2525
b2393	0.51	0.6025	0.61	0.63
b2394	1.4925	1.87	2.01	1.775
b2395	1.715	2.26	2.435	1.4575
b2398	0.6825	0.625	0.73	0.7425
b2399	1.1475	1.06	1.225	1.315
b2400	1.275	1.6825	1.55	1.3525
b2405	1.4575	1.9275	1.665	1.685
b2406	0.915	0.585	1.84	1.17
b2407	1.425	3.2875	1.835	1.15
b1261	0.9125	1.1675	0.795	1.7
b1262	0.66	0.9875	0.735	1.9975
b1263	0.7975	1.2225	1.125	2.6925
b1264	1.37	1.6125	1.275	2.9225
b1266	1.97	3.3575	2.395	1.8975
b1267	1.465	2.2125	2.055	1.455
b1268	1.2425	1.2925	0.735	2.08
b1269	1.9125	2.555	2.12	2.245
b1270	0.865	1.155	1.085	1
b1271	0.76	0.7775	0.73	0.69
b1272	1.37	1.51	1.715	1.695
b1273	1.1675	1.34	1.385	1.1375
b1274	1.21	1.1825	1.475	1.8975
b1275	2.845	2.8075	2.96	1.69
b1276	0.5775	0.2775	0.365	0.39
b1277	1.5825	1.655	1.34	1.2175
b1278	1.6675	1.6325	1.745	1.4825
b1279	1.1025	1.5375	1.605	1.2775
b1280	1.17	1.4925	1.325	1.4425
b1281	2.6925	5.5325	3.775	1.93
b1282	3.6475	10.73	7.645	3.345
b1283	0.52	0.725	0.78	0.805
b1284	0.7425	0.4525	0.655	0.685
b1285	0.5325	0.5	0.3	0.4925
b1286	1.52	1.7275	1.875	1.6075
b1287	1.7625	3.1975	2.12	1.2825
b1288	1.0425	1.1975	0.89	1.005
b1289	0.7375	0.8175	0.98	0.75
b1290	1.4225	1.315	1.83	2.0275
b1291	1.345	1.5	1.78	1.4
b1292	1.27	1.05	1.155	1.255
b1293	1.14	1.045	1.36	1.18
b1294	1.235	1.44	1.715	1.46
b1295	1.935	2.4125	2.79	1.4575
b1296	0.48	0.39	0.57	0.7125
b1297	0.26	0.3275	0.545	0.56
b1298	0.175	0.3575	1.145	0.9725
b1299	0.835	1.5775	1.135	1.12
b1300	0.415	0.375	0.67	0.7175
b1301	0.545	0.1475	0.42	0.725
b1302	0.4925	0.27	0.57	0.6425
b1303	1.525	1.695	1.77	1.4025
b1304	2.88	4.145	2.12	1.3975
b1305	1.8375	1.4325	1.155	1.015
b1306	1.785	1.7325	1.15	0.6275
b1307	1.92	1.4975	1.005	0.8625
b1308	0.3	0.1575	0.11	0.1225
b1309	0.3625	0	0.005	0.14
b1310	0.505	0.585	0.67	0.25
b1311	0.4775	0.1775	0	0.215
b1312	0	0	0	0
b1313	1.3275	3.1525	1.575	1.06
b1314	0.595	0.235	0.935	0.7375
b1315	1.1075	0.85	0.97	1.0075
b1316	0.7725	0.4975	0.275	1
b1317	0.535	0.51	0.6	0.8425
b1318	1.32	0.24	1.54	0.835
b1319	0.7825	0	0.7	0.4875
b1320	2.03	2.4925	2.155	2.025
b1321	0.56	0.57	0.67	1.0275
b1322	0.91	0.5725	0.68	1.2475
b1323	0.93	1.0925	0.835	0.8275
b1324	1.0475	1.1225	1.375	1.045
b1325	0.525	0.5425	0.645	0.57
b1326	0.9125	0.71	0.765	1.1625
b1327	0.5325	0.25	0.215	0.9775
b1328	1.5225	1.3875	1.615	2.03
b1329	0.7325	0.4675	0.385	1.295
b1330	1.9175	4.425	2.875	1.5475
b1332	0.89	0.8275	1.155	1.9125
b1333	0.4525	0.325	0.37	0.3975
b1334	0.9875	1.0525	0.825	0.815
b1335	1.1925	1.2075	1.115	0.83
b1336	0.35	0.0025	0	0.38
b1337	0	0	0	0
b1338	0.64	0.79	0.135	0.4125
b1339	0.2725	0.275	0.175	0.345
b1340	1.2025	1.89	1.76	1.2625
b1341	0.33	0.2675	0.35	0.3
b1342	0.8175	1.1	1.11	0.8275
b1343	1.4625	2.6625	1.965	1.215
b1344	1.215	1.5825	1.41	1.1925
b1345	0.915	1.015	1.2	1.04
b1346	1.09	0.2675	0	0.7925
b1347	1.51	1.015	0.505	1.645
b1348	1.335	1.9325	2.11	1.3525
b1349	1.3275	0.2425	0.89	1.1575
b1350	1.2925	2.0675	1.815	1.5175
b1351	0.7025	0	0	0.55
b1352	0.705	0.5075	1.605	0.5325
b1353	1.6425	1.38	0.86	1.605
b1354	1.5575	1.005	1.615	2.17
b1355	1.45	1.255	1.265	1.39
b1356	1.58	2.2025	2.06	2.2475
b1357	0.825	1.2075	0.895	1.41
b1358	1.0275	0.67	0	0.3675
b1359	0	0	0	0.2075
b1360	1.3525	3.305	2.085	1.08
b1361	1.22	0.995	0.655	1.3875
b1362	0.88	0	0	0.685
b1363	3.0275	2.3375	2.4	3.085
b1364	1.655	2.8025	1.645	1.3375
b1365	2.06	3.755	4.525	1.73
b1366	2.285	2.755	3.635	1.635
b1367	0.7125	0.5275	0.605	0.835
b1368	1.285	0.445	0.8	1.2075
b1369	1.52	0.565	1.21	0.625
b1370	0.5625	0.885	0.72	0.625
b1371	1.8475	1.4825	1.415	1.6725
b1372	0	0	0	0.3225
b1373	1.4125	1.35	1.51	1.8075
b1374	1.6625	1.665	1.36	1.3875
b1375	1.2175	1.045	1.035	1.4375
b1376	0.075	0.06	0.06	0.08
b1377	0.9825	0.5025	0.49	0.6675
b1378	0.805	0.81	0.745	0.6125
b1379	1.3325	1.63	1.515	1.675
b1380	0.5925	0.3725	0.4	0.74
b1381	1.1675	1.6075	1.72	1.51
b1382	1.285	1.565	2.035	2.04
b1383	1.695	1.9625	1.985	2.39
b1384	0.0925	0.0725	0.08	0.1275
b1385	0.645	0.685	0.62	0.575
b1386	1.1	0.9675	0.965	1.29
b1387	0.76	0.5	0.885	0.575
b1908	1.32	1.1225	1.475	1.5975
b1912	1.0425	0.665	0.79	1.2
b1913	1.7625	2.5	1.775	1.265
b1914	1.035	0.9125	1.35	1.2775
b1915	2.515	2.9525	3.285	2.7
b1916	1.2075	1.44	1.335	0.895
b1917	1.935	2.7525	3.605	2.465
b1918	2.13	2.6425	3.15	2.385
b1919	1.8025	3.465	3.12	2.0475
b1920	1.795	2.66	3.06	1.465
b1921	1.1525	0.7175	0.005	0.2375
b1922	0.9675	0.4825	0.215	0.2025
b1923	0.81	0.7725	0.76	0.475
b1924	1.2	0.9325	0.72	0.455
b1925	1.27	0.84	0.58	0.525
b1926	1.29	2.4325	1.785	1.0925
b1927	0.5225	0.5225	0.51	0.4975
b1928	1.0325	0.9675	1.26	1.8775
b1929	0.425	0.8125	1.725	1.925
b1930	0.7375	0.6	0.875	1.68
b1931	0.555	0.52	0.425	0.53
b1932	0.7225	0.57	0.515	0.6825
b1933	2.1175	1.7275	1.845	1.85
b1934	0	0	0	0
b4495	2.8325	1.7375	1.32	1.8075
b1936	1.1	0	0	1.14
b1937	1.995	1.9875	0.68	0.43
b1938	1.2475	0.685	0.31	0.335
b1939	1.2725	0.6925	0.25	0.335
b1940	1.1475	0.54	0.22	0.29
b1941	1.24	1.3075	0.805	0.685
b1942	1.7625	1.2025	0.155	0.2375
b1943	1.7025	1.2925	0.485	0.36
b1944	0.9975	0.6475	0.165	0.1775
b1945	0.965	0.6525	0.21	0.2375
b1946	1.285	0.8825	0.305	0.235
b1947	1.46	0.845	0.46	0.215
b1948	1.7575	1.0525	0.485	0.63
b1949	1.75	1.2725	0.575	0.4875
b1950	2.3575	1.3125	0.21	0.8125
b1951	1.2125	1.12	1.435	2.9225
b1952	0.71	0.8975	1.29	1.295
b1953	0.135	0.0675	0.085	0.1925
b1955	0.3775	0.32	0.365	0.345
b1956	1.0925	1.0075	1.04	0.845
b1957	0.265	0.185	0.245	0.225
b1958	0.82	1.09	1.095	0.71
b1959	0.835	0.5975	0.81	0.505
b1960	1.885	2.6775	2.53	1.8975
b1961	1.8925	2.685	2.14	1.6575
b1962	3.115	3	3.025	2.41
b1963	23.195	25.9025	39.9	20.0475
b4496	0.71	1.1	0.92	0.62
b4496	0.4175	0.3925	0.365	0.405
b4496	0.8225	0.5925	0.64	0.85
b1967	0.52	0.31	0.295	0.3125
b1968	2.565	2.35	1.935	3.2575
b1969	2.0275	2.3625	2.48	2.06
b1970	0.9575	0.9625	0.695	1.4625
b1971	0.745	0.6725	0.7	0.595
b1972	0.915	0.885	1.085	1.0725
b1973	1.4525	0.7275	0.725	1.7475
b1974	0.2625	0.1775	0.135	0.205
b1976	0.105	0.07	0.065	0.1475
b1978	1.3975	1.14	0.925	1.055
b1979	1.0425	2.1025	0.6	1.44
b4497	0	0	0	0
b1981	1.0375	0.8175	1.11	1.8075
b1982	0.89	0.8325	1.035	1.055
b1983	2.45	2.5775	3.975	14.3325
b1985	1.1775	0.99	1.28	0.8825
b1987	2.41	3.245	3.87	2.6125
b1988	0.82	0.5975	0.28	0.52
b1990	0.4775	0.3625	0.475	0.705
b1991	1.1425	1.405	1.37	1.045
b1992	0.99	1.165	1.49	1.1275
b1993	1.045	1.0875	1.4	1.3675
b1994	0.5575	0.84	0.75	0.755
b4582	1.1475	0.9225	0.005	0.6575
b1997	0.985	1.2925	1.125	0.8275
b4582	0.9925	0.96	0.715	0.945
b1999	0.8875	0.86	0.84	0.9025
b2000	1.465	2.0575	2.135	0.885
b2001	1.1225	1.18	1.24	1.1775
b2002	0	0	0	0
b2003	0	0	0	0
b2004	0	0	0	0
b2005	1.3175	0.7175	1.135	0.6975
b2006	1.2825	1.23	1.805	2.355
b2007	1.7875	1.205	1.075	1.5075
b2008	0.665	0.535	0.735	0.87
b2009	0.4575	0.5975	0.41	0.4425
b2010	1.5825	1.8625	1.43	1.1125
b2011	1.8	1.8825	2.115	1.7
b2012	2.4575	2.5625	3.19	1.6275
b2013	2.4925	3.305	3.06	1.1325
b2014	3.2375	3.845	2.665	1.985
b2015	0.8675	0.96	0.92	0.82
b2016	0.6825	0.715	0.745	0.7225
b2017	1.65	2.195	1.795	1.2025
b2019	0.9125	0.8975	1.18	1.8225
b2020	1.15	1.0025	1.51	1.7775
b2021	1.0175	0.94	1.15	1.9075
b2022	1.1625	1.0875	0.95	1.4525
b2023	0.97	0.9225	1.205	1.48
b2024	1.1425	1.1575	1.615	1.9475
b2025	0.9975	1.4775	1.045	2.225
b2026	1.1275	1.17	1.655	1.95
b2027	1.365	1.4475	1.6	2.435
b2028	1.3275	1.3275	1.22	1.6725
b2029	0.91	0.88	0.965	1.075
b2031	0.9775	0.85	0.955	2.2175
b2032	1.295	1.205	1.415	2.46
b2033	1.175	0.92	1.255	1.84
b2034	1.105	0.9125	1.04	2.0875
b2035	1.235	1.46	1.65	2.0575
b2036	1.1975	0.9725	1.3	2.2075
b2037	1.275	1.125	1.29	2.27
b2038	1.265	0.9475	1.185	2.4825
b2039	1.145	1.425	1.705	1.6675
b2040	1.1025	1.06	1.17	1.3
b2041	1.3125	1.165	1.47	1.91
b2042	1.25	1.5325	1.23	1.285
b2043	1.0775	1.7375	0.935	1.465
b2044	0.64	0.21	0	0.8175
b2045	0.4825	0	0	0.6025
b2046	0.6	0.1825	0.495	0.365
b2047	0.755	0.5975	1.505	0.47
b2048	0.2025	0.0025	0	0.3175
b2049	1.08	0.795	0.44	1.0025
b1775	0.33	0	0.07	0.3675
b1776	0.3025	0	0	0.65
b1777	0.74	0.57	0.72	1.08
b1778	0.34	0.41	0.495	0.68
b1779	1.5925	0.4575	0.455	0.7025
b1780	2.19	0.89	0.775	1.215
b1781	1.085	1.37	1.275	1.8475
b1782	0.8575	1.8	1.065	1.35
b1783	0.265	0.115	0.105	0.145
b1784	0.2475	0.0675	0.065	0.24
b1785	0.9575	1.0675	0.77	1.13
b1786	2.03	2.305	2.345	2.0375
b1787	1.19	1.595	1.525	1.3125
b1788	0.835	0.24	0.585	0.7
b1789	1.4275	1.305	1.18	1.2025
b1790	1.37	1.5775	1.655	1.2375
b1791	1.345	2.185	2.485	1.8225
b1792	0.6	0.5675	0.68	0.9525
b1793	1.15	1.1025	1.34	1.5425
b1794	1.835	2.09	2.075	2.6
b1795	0.8	0.5575	0.66	0.93
b1796	0.3775	0.2875	0.615	0.88
b1797	0.52	0.71	0.98	1.3425
b1798	0.725	0.7675	0.89	0.8625
b1799	0.115	0.125	0.145	0.395
b1800	1.34	1.1825	0.86	0.9425
b1801	0.3225	0	0	0.2525
b1802	0.9275	2.5225	3.27	0.765
b1803	0.9875	0.8375	1	1.17
b1804	1.4775	1.965	1.865	1.7575
b1805	0.38	0.185	0.26	0.2775
b1806	0.975	0.9175	0.99	1.035
b1807	1.3525	1.2225	1.26	1.6725
b1808	2.4625	2.755	3.035	1.9125
b1809	1.0875	1.345	1.58	1.3525
b1810	0.31	0.2875	0.305	0.4425
b1811	1.8025	2	2.165	2.26
b1812	1.455	1.4975	1.585	1.37
b1813	0.8075	0.5225	0.665	1.1175
b1814	1.0425	1.155	1.275	1.345
b1815	0.27	0.215	0.13	0.2575
b1816	2.0575	2.3125	2.115	1.4125
b1817	0.2775	0.0725	0.06	0.2225
b1818	0.4825	0.1625	0.205	0.2875
b1819	0.445	0.1125	0.09	0.15
b1820	0.63	0.4225	0.435	0.9025
b1821	1.9425	1.985	2.67	3.145
b1822	1.74	2.7925	2.79	3.08
b1823	0.465	0.31	0.5	0.93
b1825	2.705	4.3075	5.175	6.5725
b1827	1.0075	1.3925	1.13	0.905
b1828	1.795	1.405	1.605	1.205
b1829	1.015	1.09	1.145	1.0075
b1830	0.925	0.925	1.01	1.2475
b1832	0.7075	0.685	0.86	1.0675
b1833	1.07	1.025	0.955	0.9625
b1834	1.2875	1.035	1.135	0.755
b1835	1.655	1.59	1.705	1.83
b1836	0.2325	0.0575	0.055	0.12
b1837	0.8775	1.065	1.17	1.01
b1838	0.705	0.6025	0.735	0.88
b1839	1.415	1.8875	2.34	3.2525
b1840	1.8925	2.605	2.485	2.355
b1841	1.8075	2.4975	2.625	2.1075
b1842	2.645	4.0075	4.325	3.85
b1843	1.1175	1.59	1.245	1.39
b1844	1.155	1.065	1.295	1.23
b1845	0.675	0.6925	0.785	0.84
b1846	0.5525	0.6825	0.635	0.7375
b1847	0.64	0.57	0.67	0.5875
b1848	2.43	2.45	2.625	2.1225
b1849	2.825	4.09	4.055	1.86
b1850	1.245	1.4875	1.57	1.48
b1851	1.3025	1.4325	1.445	0.85
b1852	0.9125	1.065	1.05	0.99
b1853	0.835	0.7625	0.925	0.77
b1854	0.42	0.3175	0.37	0.3575
b1855	0.8925	1.04	1.02	1.52
b1856	0.7975	0.645	0.615	0.79
b1857	0.5	0.5375	0.44	0.4425
b1858	1.3425	1.545	1.45	1.3725
b1859	1.68	1.845	1.81	1.6125
b1860	1.2425	1.2375	1.26	1.0625
b1861	1.545	1.495	1.6	1.6525
b1862	0	0	0	0
b1863	1.63	1.5775	1.84	1.7425
b1864	1.025	1.045	0.945	1.0225
b1865	1.065	1.0075	1.275	0.985
b1866	1.135	1.08	1.305	1.335
b1867	0.84	0.76	0.915	0.9775
b1868	1.0525	1.0225	1.41	1.4875
b1869	0.8425	0.6025	0.685	0.8125
b1870	1.2525	1.445	1.545	1.845
b1871	1.7125	1.9	2.165	1.9475
b1872	1.1025	1.1275	1.015	0.98
b1873	0.885	0.92	1.01	1.045
b1874	0.9675	0.87	1.03	0.97
b1875	1.11	1.31	1.185	1.3325
b1876	1.9475	2.4575	1.795	1.32
b1877	2.4575	2.405	1.685	2.79
b1878	1.7075	1.0425	0.55	0.5775
b1879	1.725	1.0475	0.44	0.3725
b1880	1.1725	0.5375	0.09	0.2875
b1881	0.985	1.68	1.34	0.7875
b1882	0.9075	1.5525	1.215	0.705
b1883	1.2175	0.9175	0.845	0.48
b1884	0.95	0.9525	0	0.2975
b1885	0.9525	1.0325	0.84	0.3425
b1886	1.0225	1.19	0.93	0.33
b1887	0.6725	1.005	0.71	0.4375
b1888	0.8875	1.2675	1.055	0.5125
b1889	0.7925	0.675	0.415	0.18
b1890	0.845	1.06	0.935	0.4575
b1891	0.3475	0.39	0.515	0.8275
b1892	0.2	0.25	0.24	0.84
b1895	0.37	0.225	0.25	0.865
b1896	0.3375	0.23	0.23	0.3125
b1897	0.175	0.15	0.185	0.265
b4460	0.375	0.205	0.165	0.265
b4460	0.405	0.155	0.07	0.2775
b1900	0.475	0.345	0.15	0.3025
b1901	0.285	0.095	0.075	0.06
b1902	0.59	0.5575	0.73	0.6325
b1903	0.5675	0.3775	0.19	1.1625
b1904	0.865	0.4125	0.18	0.34
b1905	2.025	1.85	3.25	2.915
b1906	0.51	0.5525	0.365	1.4775
b1907	3.1475	4.155	3.54	1.82
b0484	1.45	2.6925	3.5	2.1125
b0485	0.2525	0.24	0.36	0.235
b0486	0.5075	0.3325	0.355	0.4725
b0487	0.715	0.695	0.665	0.63
b0488	1.13	1.25	1.115	0.8625
b0489	1.5325	1.995	1.1	0.9325
b0490	1.3175	1.4025	1.465	1.49
b0491	1.145	1.2275	1.265	1.6775
b0492	0.77	0.6375	0.62	0.95
b0493	1.2175	0.915	1.26	1.3625
b0494	1.0325	1.195	0.835	0.98
b0495	1.1125	0.98	1.095	0.9925
b0496	1.1925	1.01	1.28	1.11
b0497	1.7675	1.6075	2.545	3.4225
b0498	1.6025	2.695	2.065	2.1075
b0499	2.1425	0.7175	2.28	2.105
b0500	1.495	0.8525	0.545	1.83
b0501	1.3425	2.2075	2.26	1.5075
b0502	1.23	1.555	0.925	0.8125
b0503	2.155	4.115	2.99	2.0625
b0504	0.7675	0.25	0.65	1.0025
b0505	0.8625	0.86	0.99	1.4975
b0506	0.44	0.26	0.31	0.39
b0507	0.81	0.635	0.66	0.6575
b0508	1.665	0.7475	1.315	1.3375
b0509	1.07	0.775	0.595	0.76
b0510	0	0	0	0
b0511	1.0975	0.245	0.27	0.46
b0512	1.2375	0.835	0.695	1
b0513	0.2625	0.1125	0.28	0.31
b0514	1.1175	1.325	1.445	0.85
b0515	0.7975	0.7275	0.755	0.865
b0516	1.0275	0.9	0.98	1.145
b0517	2.6675	3.095	2.13	1.74
b0518	0.895	0.6075	0.355	0.875
b0519	0.885	1.885	1.68	0.755
b0520	0.97	0.4525	0	0.82
b0521	1.0675	0.2575	0	0.4525
b0522	3.125	4.8425	5.01	3.1775
b0523	2.8475	4.5675	3.745	2.825
b0524	2.21	3.3375	2.595	1.915
b0525	1.31	1.0875	1.12	1.7275
b0526	1.7725	2.945	2.25	1.9475
b0527	1.1975	1.2575	1.67	1.3925
b0528	1.6975	1.975	2.255	2.1
b0529	1.77	1.925	1.72	0.9675
b0530	1.0625	0	0.005	0.425
b0531	0	0	0	0
b0532	1.5275	1.7625	1.805	6.9525
b0533	0.6475	0.7725	0.845	1.1575
b0534	0.75	0.15	0.405	0.4525
b0535	0	0	0	0
b0537	1.145	1.265	1.92	2.14
b0539	1.1725	1.5925	1.36	1.0075
b0538	1.56	1.3375	1.345	0.9525
b0543	1.5975	2.1075	2.21	2.15
b0544	0.645	0	0	0.7875
b0545	1.1175	1.2175	1.25	1.435
b0546	0.83	1.1975	0.85	0.92
b0547	0	0	0.005	0.7525
b0548	0.27	0	0	0.45
b0549	1.305	2.5275	2.68	0.9975
b0550	0	0	0	0
b0551	1.1675	1.48	1.17	1.0375
b0553	0.3375	0.3775	0.42	0.515
b0554	1.3375	1.6175	3.115	3.375
b0555	1.295	1.415	1.28	1.3175
b0556	1.02	0.9125	0.52	1.6475
b0557	9.285	14.46	10.13	10.125
b0558	1.255	0.2525	0	1.12
b0559	1.73	1.48	1.575	2.0375
b0560	1.0475	1.0775	1.17	0.9625
b0561	0.6675	0	0.05	0.3225
b0562	1.9025	1.9775	1.055	2.3775
b0563	1.6375	1.3675	1.31	1.5275
b0564	0.465	0.275	0.38	1.505
b0565	1.4	1.475	1.44	2.465
b0566	0.6475	0.2025	0.615	0.525
b0567	1.0825	1.11	0.825	0.865
b0568	1.255	1.6625	1.5	1.0225
b0569	1.485	2.115	1.68	1.445
b0570	2.18	2.2175	1.72	1.54
b0571	1.39	1.8525	1.495	1.2475
b0572	1.2	1.4775	2.6	6.59
b0573	1.6375	3.5925	6.68	2.7875
b0574	1.4375	1.7	1.855	3.295
b0575	0.84	0.58	0.76	0.9625
b0576	2.175	2.3325	2.345	2.985
b0577	2.61	3.4775	3.26	3.415
b0578	1.2725	1.4875	1.53	1.255
b0579	1.14	1.195	1.425	1.6375
b0580	0.8725	0.69	1.165	1.69
b0581	0.145	0.03	0.01	0.07
b0583	1.275	1.435	1.33	1.865
b0584	0.9775	3.245	1.185	0.78
b0585	1.59	2.355	0.345	1.11
b0586	0.615	0.7775	0.49	0.7425
b0587	0	0	0.47	0.8675
b0588	1.335	2.435	0.78	1.1375
b0589	1.3025	2.38	0.82	0.97
b0590	1.725	2.1425	1.045	1.5075
b0591	1.785	3.5875	1.7	1.96
b0592	1.34	1.9175	1.135	1.3975
b0593	1.45	3.1075	0.975	0.88
b0594	1.485	4.165	0.8	0.81
b0595	1.46	3.3125	1.135	1.0125
b0596	1.3225	2.9975	1.09	0.875
b0597	1.02	2.075	0.955	1.0775
b0598	0.0475	0.0175	0.02	0.045
b0599	5.5225	3.765	2.845	2.4625
b0600	8.0075	4.34	2.035	1.86
b0601	0.855	0.5425	0.005	0.9975
b0602	1.555	2.1075	2.38	1.8225
b0603	0.73	0.17	0.655	1.595
b0604	1.155	1.65	1.44	1.6725
b0605	0.715	0.5	0.49	0.6075
b0606	0.645	0.765	1.05	1.045
b0607	0.9325	0.9075	0.855	0.47
b0608	1.3625	1.8125	1.7	1.43
b0609	1.6825	2.535	2.625	2.5675
b0610	0.1575	0.095	0.115	0.2975
b0611	1.7625	1.9	1.925	2.05
b0612	1.3225	1.94	0.825	0.76
b0613	0.51	0.1875	0.3	0.5175
b0614	0.9925	0.8275	0	0.135
b3578	0.3	0	0	0.0975
b3579	0.205	0	0	0
b3580	0.71	0.3775	0.13	0.41
b3581	0.7	0.2725	0.145	0.35
b3582	0.75	1.7225	1.58	0.65
b3583	1.195	0.815	0.605	0.765
b3584	0.705	0.7325	0.54	0.8475
b3585	1.6875	2.2475	1.755	1.7275
b3586	0.835	0.885	0.905	1.065
b3587	1.23	1.665	1.045	1.1475
b3588	0.105	0.025	0.01	0.0125
b3589	0	0	0	0
b3590	1.47	2.125	3.295	4.0875
b3591	1.6475	2.27	2.23	2.3975
b3592	0.28	0.18	0.31	0.475
b3593	0.8475	0.7425	0.83	1.5
b3594	1.165	1.665	1.175	1.415
b3595	1.9525	2.97	2.865	3.1525
b3596	1.1225	1.5825	2.17	2.21
b3597	0.245	0.1925	0.19	0.26
